,tweet_id,rating_numerator,rating_denominator,name,stage,date,time,favorite_count,retweet_count,text,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog
0,8.91815E+17,12,10,Archie,None,7/31/17,0:18:03,25267,4245,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike.â€_ https://t.co/r0YlrsGCgy,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,TRUE,Malamute,0.078253,TRUE,Kelpie,0.0313789,TRUE
1,8.9169E+17,13,10,Darla,None,7/30/17,15:58:51,42502,8802,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us https://t.co/tD36da7qLQ,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper Towel,0.170278,FALSE,Labrador Retriever,0.168086,TRUE,Spatula,0.0408359,FALSE
2,8.91328E+17,12,10,Franklin,None,7/29/17,16:00:24,40666,9586,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected aâ€_ https://t.co/0g0KMIVXZ3",https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,TRUE,English Springer,0.22577,TRUE,German Short-Haired Pointer,0.175219,TRUE
3,8.91088E+17,13,10,None,None,7/29/17,0:08:17,20402,3180,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG:â€_ https://t.co/xx5cilW0Dd,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake Bay Retriever,0.425595,TRUE,Irish Terrier,0.116317,TRUE,Indian Elephant,0.0769022,FALSE
4,8.90729E+17,13,10,None,None,7/28/17,0:22:40,66149,19291,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13â€_ https://t.co/hrcFOGi12V,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,TRUE,Eskimo Dog,0.178406,TRUE,Pembroke,0.0765069,TRUE
5,8.90609E+17,13,10,Zoey,None,7/27/17,16:25:51,28001,4341,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10â€_ https://t.co/UkrdQyoYxV,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish Terrier,0.487574,TRUE,Irish Setter,0.193054,TRUE,Chesapeake Bay Retriever,0.118184,TRUE
6,8.90007E+17,13,10,Koda,None,7/26/17,0:31:25,30895,7485,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a peâ€_ https://t.co/jy2alqaYPH,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,TRUE,Pomeranian,0.0138835,TRUE,Chow,0.00816748,TRUE
7,8.89639E+17,12,10,Ted,None,7/25/17,0:10:02,27409,4635,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist https://t.co/f8dEDcrKSR,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French Bulldog,0.99165,TRUE,Boxer,0.00212864,TRUE,Staffordshire Bullterrier,0.00149818,TRUE
8,8.89279E+17,13,10,Oliver,None,7/24/17,0:19:32,25518,5551,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckiâ€_ https://t.co/qw5xRwBaIv,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,Whippet,0.626152,TRUE,Borzoi,0.194742,TRUE,Saluki,0.0273507,TRUE
9,8.88917E+17,12,10,Jim,None,7/23/17,0:22:39,29325,4598,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both https://t.co/chxruIOUJN,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,Golden Retriever,0.714719,TRUE,Tibetan Mastiff,0.120184,TRUE,Labrador Retriever,0.105506,TRUE
10,8.88555E+17,13,10,Ralphus,None,7/22/17,0:23:06,20100,3670,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af https://t.co/YnYAFCTTiK,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian Husky,0.700377,TRUE,Eskimo Dog,0.166511,TRUE,Malamute,0.111411,TRUE
